Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,SAW,IFS_TOPSIS,IFS_VIKOR,IFS_PROMETHEE,IFS_COPRAS,IFS_EDAS,IFS_SAW
P13,0.7919863317965199,0.7829516033393404,0.865727595585677,0.8465408705002644,0.8098300282409376,0.8575698733453475,0.5798959833850403,0.8018540396623307,0.8812036945505379,0.8737028418133175,0.803810085188799,0.8883862150515875
P14,0.8098231006322206,0.7991521452831052,0.8462151740243747,0.8355244129960573,0.7961781886971483,0.8391356637881842,0.480208486948466,0.8120423349339515,0.8496451667255479,0.867481833462614,0.8243373926193378,0.8732811037656871
P15,0.7427413529643336,0.7182474813353391,0.7976989316722978,0.7870856423741226,0.7361517851117372,0.7976060737817894,0.4598786850977284,0.7409540731355498,0.8182268832780714,0.8284310506329532,0.7413631978250911,0.8438359618920223
P16,0.7658185540981126,0.7531521451797051,0.8257059094312077,0.8161324495795466,0.772147235652566,0.8257487348038546,0.5468657671705759,0.7667688509572307,0.8235279431590279,0.8371807940972085,0.750918162757365,0.849289842071606
P17,0.3729555929761841,0.31341868431657627,0.2789149265521275,0.3842606151854284,0.3220846621786628,0.3907262575220413,0.14807662878383057,0.33596661249642934,0.2700965222820088,0.4099328825487061,0.3115984921207132,0.42086313109838125
P18,0.600999105052617,0.5728417185659236,0.5524808754851814,0.6152540193231998,0.5578651251423321,0.6101439426313677,0.3153793340540467,0.589146145732258,0.5631118928581283,0.6591893753303891,0.621462882807969,0.653617859686413
P19,0.5750561253670603,0.5905280363007094,0.5065759275922277,0.5846279638959826,0.49972703618646547,0.5838338503791966,0.2107721379228299,0.6114321256372353,0.5048582293423345,0.6184880122173587,0.5253709341989039,0.6171325927737765
P20,0.5753816275939466,0.4906405062782404,0.6153570878886612,0.6542865775641927,0.6035184380958016,0.6757254570009252,0.4903486265102161,0.5071933669900575,0.6267022167719519,0.6749626665565166,0.5392453088210695,0.709063428835143
P21,0.6588813574427431,0.6445288487837856,0.6377379296034567,0.6752391135203364,0.600307712235991,0.6779465864564602,0.2999913747255661,0.6712651763820893,0.6620021684198268,0.7284798282773841,0.6339292049907831,0.7324866132545582
P22,0.4985525164840795,0.4781607951981215,0.45066729843044745,0.5235703394322057,0.45096802683495896,0.529683930865158,0.21853430402603902,0.4879839776350974,0.4387847762252077,0.558979626945127,0.4502354188452162,0.5654978257180451
P23,0.5751495424815315,0.5819621475181871,0.5069680898002845,0.5842732281300186,0.5031317357813848,0.5823238407839609,0.2163684940128698,0.601717791074222,0.5131140339741395,0.6256587759387685,0.5495447979868222,0.6205729055864786
P24,0.47639436688707315,0.430489771274855,0.42412031936792427,0.5068045582431364,0.4444877528842572,0.5146646984379242,0.28580362201767096,0.4350648615734136,0.4058737666700637,0.5236229013662291,0.43566788380024757,0.5404269685522164
P25,0.5885385054141493,0.5651085355542886,0.5499187616436697,0.610886518696564,0.5251597262669103,0.6163281822196884,0.23896723948011214,0.5837751721233415,0.5330941478901575,0.6412360001096784,0.52007762732172,0.651121877469272
P26,0.7166502636140109,0.6749088438325539,0.7157077546650997,0.7375442005636023,0.6886786557822808,0.7345267423123509,0.42056128344159477,0.691848597005639,0.7302604250825756,0.7812369633428746,0.7397582847878352,0.7782828409949543
P27,0.6056939902069757,0.5492715976944712,0.6144514963158548,0.6547836565759093,0.5847166270148998,0.6679876398333868,0.39048131324404994,0.5654806981975643,0.6187867532417639,0.6905067084964555,0.5578681964133773,0.711722156950237
P28,0.5903866528311841,0.5478262206420379,0.620890079808428,0.6592444158697307,0.593261001204762,0.6789857746174092,0.4201494436588661,0.5646320006270433,0.613057561404935,0.6799586455864507,0.5449180468959818,0.711192099794245
P29,0.5415040226042784,0.5094210276091311,0.5555755215112633,0.6099301665764804,0.5571064609830564,0.6299531663293734,0.4472969100202945,0.5163614122880255,0.5368477194979826,0.6144718811671541,0.49985590221809173,0.6484525754762422
P30,0.4242758343956046,0.33763228680154667,0.3254414703951875,0.41366620396184484,0.3471729474956696,0.40358970879333667,0.15120164660668306,0.34827659469793504,0.31198629934050953,0.4502545832097954,0.38923561557143715,0.43088850133645556
P31,0.4836171567313178,0.4863670407041738,0.41414030590509265,0.508820277153442,0.431703303958604,0.5144007480750143,0.1829923623485691,0.5022398432367142,0.3824652041530924,0.5280633444391524,0.4261461702640957,0.5347555194958624
